Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Dassault Falcon 50","Cessna Caravan","Let L-410UVP-E20","Beechcraft 1900D","Let L-410NG","Yakovlev Yak-40","Britten-Norman MKIII Trislander","Short 330-200","Short 360-200","Bombardier DHC-6-400","Saab 340","Cessna Citation X","Bombardier Global 5000","Antonov An-140","Ilyushin Il-114-100","Ilyushin Il-114-300","Dornier 328-110","Embraer EMB120 Brasilia","CASA CN-235","Fokker 50","Embraer ERJ140","Tupolev Tu-134","Dornier 328JET","Embraer ERJ135","Antonov An148","ATR 42-600","Yakovlev Yak-42","ATR 72-600","Fokker 70ER","Ilyushin Il-18","Bombardier Global 7500","Fokker 70","Bombardier DHC-8-100","Tupolev Tu-154","Embraer ERJ145XR","Sukhoi Superjet 100","Comac ARJ21","Saab 2000","Embraer ERJ145","Tupolev Tu-204","Embraer EMB170-200","Fokker 100","Bombardier DHC-8-200","Boeing 717-200","Boeing 737-100","Embraer ERJ170","Boeing 737-200","Bombardier DHC-8-300","Embraer ERJ175","BAe 146-200","Boeing 737-300","Boeing 727-200","Bombardier CRJ100","Boeing 737-500","Gulfstream G650ER","Bombardier CRJ200","Embraer E175-E2","Bombardier Q400","Bombardier DHC-8-400","Boeing 737-400","Ilyushin Il-86","Ilyushin Il-62","Ilyushin Il-96-300","Comac C919","Bombardier CRJ900","McDonnell Douglas MD-90","Lockheed L-1011-1","Embraer EMB190","Irkut MC-21-300","Airbus A300-600","Bombardier CRJ700","Embraer E190-E2","Ilyushin 96-400","Boeing 757-300","Bombardier CRJ1000","Boeing 737-900ER","Airbus A310-200","Mitsubishi MRJ-100","Boeing 737-700","McDonnell Douglas MD-81","Airbus A310-300","Boeing 737-900","Boeing 737-600","McDonnell Douglas DC-8-50","McDonnell Douglas DC-10-30","Embraer E195-E2","Boeing 767-300","Boeing 737-800","Mitsubishi MRJ-90","Tupolev Tu-144D","McDonnell Douglas MD-11","Boeing 737 MAX 8","Airbus A319neo","Boeing 747-100","Boeing 737-700ER","Airbus A321","Bombardier CS100","Boeing 747-200","Airbus A320neo","Boeing 737-700C","Airbus A321neoXLR","Airbus A318","Lockheed L-1011-500","Airbus A319","Bombardier CS300","Airbus A320","Boeing 737 MAX 7","Boeing 777-300","Boeing 757-200","Boeing 747-400ER","Airbus A321neoLR","Boeing 737 MAX 9","Boeing 757-200ER","Boeing 747-300","Boeing 767-400ER","Airbus A340-500","Boeing 787-8 Dreamliner",Concorde,"Airbus A340-200","Airbus A340-300","Airbus A321neo","Boeing 737 MAX 10","Airbus A330-200","Boeing 767-200ER","Boeing 767-200","Airbus A340-600","Boeing 777-300ER","Boeing 787-9 Dreamliner","Boeing 747-400","Airbus A330-300","Airbus A350-900","Boeing 787-10 Dreamliner","Airbus A330-800neo","Boeing 777-200ER","Boeing 767-300ER","Boeing 777-200LR","Boeing 747SP","Airbus A350-900ULR","Boeing 747-8i","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"CSA Czech Airlines",1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,14,0,158,0,0,0,679,0,451
"American Airlines",1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,37,0,0,0,0,0,0,0,195,0,0,0,0,0,479,0,49,0,152,0
"Vulkan Airlines",869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0
"Africa Air Express",535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,5,0,0,0,7,0,0,0,0,121,0,0,0,0,0,0,2,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,36,0,37,0,0,0,0,0,0,0,0,0,0
"Cosmic Airways",804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
"American Chicken",882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,429,0,0,0,48,0,0,0,0,0,0,0,308,0,68,0,0,0,0,0,0,0
ForeverAir,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,340,0,0,0,236,0,0
"eXtreme eXpress chickenZ",643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0
"Just Go Travel Airways",449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0
"JL Air",592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,260,0,0
